"period"	"subject"	"perc_stock"	"condition"
133	"le1"	0	"Shock experience"
134	"le1"	0	"Shock experience"
135	"le1"	0	"Shock experience"
136	"le1"	0	"Shock experience"
137	"le1"	0	"Shock experience"
138	"le1"	0.22998193859121	"Shock experience"
139	"le1"	0	"Shock experience"
140	"le1"	0	"Shock experience"
141	"le1"	0	"Shock experience"
142	"le1"	0.299984584553723	"Shock experience"
143	"le1"	0.30002325761687	"Shock experience"
144	"le1"	0	"Shock experience"
145	"le1"	0	"Shock experience"
146	"le1"	0	"Shock experience"
147	"le1"	0	"Shock experience"
148	"le1"	0	"Shock experience"
149	"le1"	0	"Shock experience"
150	"le1"	0.119972785001512	"Shock experience"
151	"le1"	0	"Shock experience"
152	"le1"	0	"Shock experience"
153	"le1"	0	"Shock experience"
154	"le1"	0	"Shock experience"
155	"le1"	0	"Shock experience"
156	"le1"	0	"Shock experience"
157	"le1"	0	"Shock experience"
158	"le1"	0.16	"Shock experience"
159	"le1"	0.129974470641237	"Shock experience"
160	"le1"	0	"Shock experience"
161	"le1"	0	"Shock experience"
162	"le1"	0	"Shock experience"
163	"le1"	0.0999706400469759	"Shock experience"
164	"le1"	0.779992698064987	"Shock experience"
165	"le1"	0.100021494590528	"Shock experience"
166	"le1"	0	"Shock experience"
167	"le1"	0	"Shock experience"
168	"le1"	0.130022798518096	"Shock experience"
169	"le1"	0	"Shock experience"
170	"le1"	0	"Shock experience"
171	"le1"	0.110024796315976	"Shock experience"
172	"le1"	0	"Shock experience"
1	"le101"	0.5	"Shock experience"
2	"le101"	0.5	"Shock experience"
3	"le101"	0.210020794138033	"Shock experience"
4	"le101"	0.209993114979837	"Shock experience"
5	"le101"	0.5	"Shock experience"
6	"le101"	0.5	"Shock experience"
7	"le101"	0.349980828220859	"Shock experience"
8	"le101"	0.35	"Shock experience"
9	"le101"	0.349972370602321	"Shock experience"
10	"le101"	0.129964572067872	"Shock experience"
11	"le101"	0.129985922102299	"Shock experience"
12	"le101"	0.0400375058602907	"Shock experience"
13	"le101"	0.040041163813266	"Shock experience"
14	"le101"	0.740026099925429	"Shock experience"
15	"le101"	0.740029679094788	"Shock experience"
16	"le101"	0.0300135109052306	"Shock experience"
17	"le101"	0.0300396020477156	"Shock experience"
18	"le101"	0	"Shock experience"
19	"le101"	0	"Shock experience"
20	"le101"	0	"Shock experience"
21	"le101"	0	"Shock experience"
22	"le101"	0.119965642298149	"Shock experience"
23	"le101"	0.119984715322889	"Shock experience"
24	"le101"	0	"Shock experience"
25	"le101"	0	"Shock experience"
26	"le101"	0	"Shock experience"
27	"le101"	0	"Shock experience"
28	"le101"	0	"Shock experience"
29	"le101"	0	"Shock experience"
30	"le101"	0	"Shock experience"
31	"le101"	0	"Shock experience"
32	"le101"	0	"Shock experience"
33	"le101"	0	"Shock experience"
34	"le101"	0	"Shock experience"
35	"le101"	0	"Shock experience"
36	"le101"	0	"Shock experience"
37	"le101"	0	"Shock experience"
38	"le101"	0	"Shock experience"
39	"le101"	0	"Shock experience"
40	"le101"	0	"Shock experience"
41	"le101"	0	"Shock experience"
42	"le101"	0.550013777900248	"Shock experience"
43	"le101"	0.0400271370420624	"Shock experience"
44	"le101"	0	"Shock experience"
45	"le101"	0	"Shock experience"
46	"le101"	0	"Shock experience"
47	"le101"	0	"Shock experience"
48	"le101"	0	"Shock experience"
49	"le101"	0	"Shock experience"
50	"le101"	0	"Shock experience"
51	"le101"	0	"Shock experience"
52	"le101"	0	"Shock experience"
53	"le101"	0.49001986567023	"Shock experience"
54	"le101"	0.489975641746299	"Shock experience"
55	"le101"	0.489988221436985	"Shock experience"
56	"le101"	0.489987484355444	"Shock experience"
57	"le101"	0.489974608177918	"Shock experience"
58	"le101"	0.489980492995212	"Shock experience"
59	"le101"	0.490006163599542	"Shock experience"
60	"le101"	0.490015088310997	"Shock experience"
61	"le101"	0.489968321013728	"Shock experience"
62	"le101"	0.490016860413524	"Shock experience"
63	"le101"	0.489999111032092	"Shock experience"
64	"le101"	0.069978021978022	"Shock experience"
65	"le101"	0.65	"Shock experience"
66	"le101"	0.650017105713308	"Shock experience"
67	"le101"	1	"Shock experience"
68	"le101"	1	"Shock experience"
69	"le101"	1	"Shock experience"
70	"le101"	0.519993484811467	"Shock experience"
71	"le101"	0	"Shock experience"
72	"le101"	0	"Shock experience"
73	"le101"	0	"Shock experience"
74	"le101"	0.599983615958057	"Shock experience"
75	"le101"	0.599983528249053	"Shock experience"
76	"le101"	0.6	"Shock experience"
77	"le101"	0.600031933578157	"Shock experience"
78	"le101"	0.6	"Shock experience"
79	"le101"	0.600015719562996	"Shock experience"
80	"le101"	0.599969228402185	"Shock experience"
81	"le101"	0.6	"Shock experience"
82	"le101"	0.6	"Shock experience"
83	"le101"	0.6	"Shock experience"
84	"le101"	0.600030243459852	"Shock experience"
85	"le101"	0.59997011356844	"Shock experience"
86	"le101"	0.6	"Shock experience"
87	"le101"	0.6	"Shock experience"
88	"le101"	1	"Shock experience"
89	"le101"	1	"Shock experience"
90	"le101"	0.360010393659867	"Shock experience"
91	"le101"	0.359979404003347	"Shock experience"
92	"le101"	0.359982191693697	"Shock experience"
93	"le101"	0.139996160982788	"Shock experience"
94	"le101"	0.139986007759333	"Shock experience"
95	"le101"	0.139975822357956	"Shock experience"
96	"le101"	0.14002642007926	"Shock experience"
97	"le101"	0.1399760509233	"Shock experience"
98	"le101"	0.139979859013092	"Shock experience"
99	"le101"	0	"Shock experience"
100	"le101"	0	"Shock experience"
101	"le101"	0	"Shock experience"
102	"le101"	0	"Shock experience"
103	"le101"	0	"Shock experience"
104	"le101"	0	"Shock experience"
105	"le101"	0	"Shock experience"
106	"le101"	0	"Shock experience"
107	"le101"	0	"Shock experience"
108	"le101"	0	"Shock experience"
109	"le101"	0	"Shock experience"
110	"le101"	0	"Shock experience"
111	"le101"	0	"Shock experience"
112	"le101"	0	"Shock experience"
113	"le101"	0	"Shock experience"
114	"le101"	0	"Shock experience"
115	"le101"	0	"Shock experience"
116	"le101"	0	"Shock experience"
117	"le101"	0	"Shock experience"
118	"le101"	0	"Shock experience"
119	"le101"	0	"Shock experience"
120	"le101"	0.559985653655329	"Shock experience"
121	"le101"	0.31000699790063	"Shock experience"
122	"le101"	0.309975837072834	"Shock experience"
123	"le101"	1	"Shock experience"
124	"le101"	1	"Shock experience"
125	"le101"	1	"Shock experience"
126	"le101"	0.530008453085376	"Shock experience"
127	"le101"	0.529995300997233	"Shock experience"
128	"le101"	0.530002058460272	"Shock experience"
129	"le101"	0.53	"Shock experience"
130	"le101"	0.0400154970112907	"Shock experience"
131	"le101"	0.0400022039781806	"Shock experience"
132	"le101"	0	"Shock experience"
133	"le101"	0	"Shock experience"
134	"le101"	0	"Shock experience"
135	"le101"	0	"Shock experience"
136	"le101"	0	"Shock experience"
137	"le101"	0	"Shock experience"
138	"le101"	0	"Shock experience"
139	"le101"	0	"Shock experience"
140	"le101"	0	"Shock experience"
141	"le101"	0	"Shock experience"
142	"le101"	0	"Shock experience"
143	"le101"	0	"Shock experience"
144	"le101"	0	"Shock experience"
145	"le101"	0	"Shock experience"
146	"le101"	0	"Shock experience"
147	"le101"	0	"Shock experience"
148	"le101"	0	"Shock experience"
149	"le101"	0	"Shock experience"
150	"le101"	0.149984212188191	"Shock experience"
151	"le101"	0.0399851710623875	"Shock experience"
152	"le101"	0.0400253458654557	"Shock experience"
153	"le101"	0.0399936768890294	"Shock experience"
154	"le101"	0.0400105152471083	"Shock experience"
155	"le101"	0	"Shock experience"
156	"le101"	0	"Shock experience"
157	"le101"	0	"Shock experience"
158	"le101"	1	"Shock experience"
159	"le101"	0.0399780038493264	"Shock experience"
160	"le101"	0.0399956288930172	"Shock experience"
161	"le101"	0.04	"Shock experience"
162	"le101"	0.0399869784602029	"Shock experience"
163	"le101"	0.0399805236961697	"Shock experience"
164	"le101"	0.0399978437820064	"Shock experience"
165	"le101"	0.0400257884274432	"Shock experience"
166	"le101"	0.0400085809288855	"Shock experience"
167	"le101"	0	"Shock experience"
168	"le101"	0.5	"Shock experience"
169	"le101"	0.5	"Shock experience"
170	"le101"	0.5	"Shock experience"
171	"le101"	0.5	"Shock experience"
172	"le101"	0.5	"Shock experience"
1	"le105"	0.5	"Shock experience"
2	"le105"	0.5	"Shock experience"
3	"le105"	0.579958411723933	"Shock experience"
4	"le105"	0.5	"Shock experience"
5	"le105"	0.5	"Shock experience"
6	"le105"	0.5	"Shock experience"
7	"le105"	0.209969649590729	"Shock experience"
8	"le105"	0.209979579152979	"Shock experience"
9	"le105"	0.490011645614978	"Shock experience"
10	"le105"	0.680014594545289	"Shock experience"
11	"le105"	0.680011465698452	"Shock experience"
12	"le105"	0.679996154955301	"Shock experience"
13	"le105"	0.679996145692812	"Shock experience"
14	"le105"	0.680033888731997	"Shock experience"
15	"le105"	0.68	"Shock experience"
16	"le105"	0.680007771517389	"Shock experience"
17	"le105"	0.679962212658759	"Shock experience"
18	"le105"	0.680021141649049	"Shock experience"
19	"le105"	0.679996069954804	"Shock experience"
20	"le105"	0.68	"Shock experience"
21	"le105"	0.680016600954555	"Shock experience"
22	"le105"	0.830005017561465	"Shock experience"
23	"le105"	0.830033849625603	"Shock experience"
24	"le105"	0.829990241786837	"Shock experience"
25	"le105"	0.830012383203873	"Shock experience"
26	"le105"	0.830018289894833	"Shock experience"
27	"le105"	0.82994665989332	"Shock experience"
28	"le105"	0.829995173745174	"Shock experience"
29	"le105"	0.830043113228954	"Shock experience"
30	"le105"	0.829998869673336	"Shock experience"
31	"le105"	0.82999882999883	"Shock experience"
32	"le105"	0.830048690006956	"Shock experience"
33	"le105"	0.830011454753723	"Shock experience"
34	"le105"	0.830038154699965	"Shock experience"
35	"le105"	0.630001180219521	"Shock experience"
36	"le105"	0.480025690430315	"Shock experience"
37	"le105"	0.479962345346961	"Shock experience"
38	"le105"	0.370051635111876	"Shock experience"
39	"le105"	0.370037873474541	"Shock experience"
40	"le105"	0.370028011204482	"Shock experience"
41	"le105"	0.919946631087392	"Shock experience"
42	"le105"	0.919985205276785	"Shock experience"
43	"le105"	0.780048727666486	"Shock experience"
44	"le105"	0.779967159277504	"Shock experience"
45	"le105"	0.780027173913043	"Shock experience"
46	"le105"	0.78003314001657	"Shock experience"
47	"le105"	0.780002550695064	"Shock experience"
48	"le105"	0.78001017293998	"Shock experience"
49	"le105"	0.89	"Shock experience"
50	"le105"	0.889971482889734	"Shock experience"
51	"le105"	0.889964580873672	"Shock experience"
52	"le105"	0.890049751243781	"Shock experience"
53	"le105"	0.88997411155566	"Shock experience"
54	"le105"	0.890034762456547	"Shock experience"
55	"le105"	0.889994532531438	"Shock experience"
56	"le105"	0.889958293230671	"Shock experience"
57	"le105"	0.889966969446738	"Shock experience"
58	"le105"	0.890041274208911	"Shock experience"
59	"le105"	0.890029325513196	"Shock experience"
60	"le105"	0.8900244863196	"Shock experience"
61	"le105"	0.890021008403361	"Shock experience"
62	"le105"	0.890017101325353	"Shock experience"
63	"le105"	0.889987107864203	"Shock experience"
64	"le105"	0.890049593753297	"Shock experience"
65	"le105"	0.889978764283547	"Shock experience"
66	"le105"	0.889969545141959	"Shock experience"
67	"le105"	0.890033065658951	"Shock experience"
68	"le105"	0.890006519511968	"Shock experience"
69	"le105"	0.890039402547421	"Shock experience"
70	"le105"	0.889981447124304	"Shock experience"
71	"le105"	0.329973373906428	"Shock experience"
72	"le105"	0.5	"Shock experience"
73	"le105"	0.5	"Shock experience"
74	"le105"	0.5	"Shock experience"
75	"le105"	0.5	"Shock experience"
76	"le105"	0.5	"Shock experience"
77	"le105"	0.5	"Shock experience"
78	"le105"	0.5	"Shock experience"
79	"le105"	0.57000346981263	"Shock experience"
80	"le105"	0.570020394289599	"Shock experience"
81	"le105"	0.619975339087546	"Shock experience"
82	"le105"	0.710017144256674	"Shock experience"
83	"le105"	0.71001871897127	"Shock experience"
84	"le105"	0.299974770835085	"Shock experience"
85	"le105"	0.299991650663772	"Shock experience"
86	"le105"	0.299975167618575	"Shock experience"
87	"le105"	0.610013931000574	"Shock experience"
88	"le105"	0.869989762973462	"Shock experience"
89	"le105"	0.870019400089539	"Shock experience"
90	"le105"	0.87002298509676	"Shock experience"
91	"le105"	0.869989086940706	"Shock experience"
92	"le105"	0.869997161510077	"Shock experience"
93	"le105"	0.870014450867052	"Shock experience"
94	"le105"	0.870000705367849	"Shock experience"
95	"le105"	0.870029375940388	"Shock experience"
96	"le105"	0.869989165763814	"Shock experience"
97	"le105"	0.869984728585312	"Shock experience"
98	"le105"	0.86996860830136	"Shock experience"
99	"le105"	0.339991470002843	"Shock experience"
100	"le105"	0.340012745167457	"Shock experience"
101	"le105"	0.660013717421125	"Shock experience"
102	"le105"	0.660005512679162	"Shock experience"
103	"le105"	0.580005644137152	"Shock experience"
104	"le105"	0.129997715330135	"Shock experience"
105	"le105"	0.130018248175182	"Shock experience"
106	"le105"	0.129993178200561	"Shock experience"
107	"le105"	0.130010588413251	"Shock experience"
108	"le105"	0.13003003003003	"Shock experience"
109	"le105"	0.129990993695587	"Shock experience"
110	"le105"	0.129988597491448	"Shock experience"
111	"le105"	0.130015197568389	"Shock experience"
112	"le105"	0.129985565600547	"Shock experience"
113	"le105"	0.129976312371055	"Shock experience"
114	"le105"	0.129980506822612	"Shock experience"
115	"le105"	0.129993757802747	"Shock experience"
116	"le105"	0.130020158164056	"Shock experience"
117	"le105"	0.130023455824863	"Shock experience"
118	"le105"	0.129998419472104	"Shock experience"
119	"le105"	0.13000078597815	"Shock experience"
120	"le105"	0.129976940814758	"Shock experience"
121	"le105"	0.6	"Shock experience"
122	"le105"	0.599985104639905	"Shock experience"
123	"le105"	0.830016062574202	"Shock experience"
